"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","stim_order","rt","stimulus","response","workerId","interview_date","handedness","version","phase","difficulty","stimulus_set","selected_stim","index","deck_probabilities","key_press","reward_type","reversal_type","reward_tally","total_earnings"
"","","","","","html-keyboard-response","10","3588","0.0-10.0","[""dog"",""cat"",""rabbit""]","331","
        <p>The following is a practice round of just 3 turns.<p>
        <p>The points you get here won’t change your final score, and the best animal will change between the practice round and when the real game starts.</p>
        <p>Please press the zero (0) key to start the practice round.</p>","0","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","11","4090","0.0-11.0-0.0","[""dog"",""cat"",""rabbit""]","null","<div style='font-size:40px'>+</div>","null","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","12","4401","0.0-11.0-1.0","[""dog"",""cat"",""rabbit""]","308","
            <div class='image-container'>
                <img class='stimuli-left' src='stim/loss/8/dogsquare.jpg'>
                <img class='stimuli-middle' src='stim/loss/8/catsquare.jpg'>
                <img class='stimuli-right' src='stim/loss/8/rabbitsquare.jpg'>
            </div>","2","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","13","5403","0.0-11.0-2.0","[""dog"",""cat"",""rabbit""]","null","
                <div class='image-container'>
                    <img class='stimuli-left' src='stim/loss/8/dogsquare.jpg'>
                    <img class='stimuli-middle' src='stim/loss/outcome/squared_lose.png'>    
                    <img class='stimuli-right' src='stim/loss/8/rabbitsquare.jpg'>
                </div>","null","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","14","5906","0.0-11.0-0.1","[""dog"",""cat"",""rabbit""]","null","<div style='font-size:40px'>+</div>","null","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","15","6209","0.0-11.0-1.1","[""dog"",""cat"",""rabbit""]","301","
            <div class='image-container'>
                <img class='stimuli-left' src='stim/loss/8/dogsquare.jpg'>
                <img class='stimuli-middle' src='stim/loss/8/catsquare.jpg'>
                <img class='stimuli-right' src='stim/loss/8/rabbitsquare.jpg'>
            </div>","1","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","16","7212","0.0-11.0-2.1","[""dog"",""cat"",""rabbit""]","null","
                <div class='image-container'>
                    <img class='stimuli-left' src='stim/loss/outcome/squared_win.png'>
                    <img class='stimuli-middle' src='stim/loss/8/catsquare.jpg'>
                    <img class='stimuli-right' src='stim/loss/8/rabbitsquare.jpg'>
                </div>","null","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","17","7714","0.0-11.0-0.2","[""dog"",""cat"",""rabbit""]","null","<div style='font-size:40px'>+</div>","null","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","18","8136","0.0-11.0-1.2","[""dog"",""cat"",""rabbit""]","419","
            <div class='image-container'>
                <img class='stimuli-left' src='stim/loss/8/dogsquare.jpg'>
                <img class='stimuli-middle' src='stim/loss/8/catsquare.jpg'>
                <img class='stimuli-right' src='stim/loss/8/rabbitsquare.jpg'>
            </div>","3","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","19","9139","0.0-11.0-2.2","[""dog"",""cat"",""rabbit""]","null","
                <div class='image-container'>
                    <img class='stimuli-left' src='stim/loss/8/dogsquare.jpg'>
                    <img class='stimuli-middle' src='stim/loss/8/catsquare.jpg'>
                    <img class='stimuli-right' src='stim/loss/outcome/squared_win.png'>
                </div>","null","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","20","9574","0.0-12.0","[""dog"",""cat"",""rabbit""]","435","
        <p>You have now completed the practice round.</p>
        <p>You will now begin the main task, which will take approximately 10 minutes.</p>
        <p>You will be given <b> 8000 </b> points and should attempt to retain points as you select animals.</p>
        <p>As a reminder, your remaining points will be converted to a final bonus of <b> $1 </b> per every <b> 2000 </b> points at the end of the game.</p>
        <p>Please press the zero (0) key whenever you are ready to start the task.</p>","0","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","21","10077","0.0-13.0-0.0","[""dog"",""cat"",""rabbit""]","null","<div style='font-size:40px'>+</div>","null","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","22","10558","0.0-13.0-1.0","[""dog"",""cat"",""rabbit""]","479","
            <div class='image-container'>
                <img class='stimuli-left' src='stim/loss/8/dogsquare.jpg'>
                <img class='stimuli-middle' src='stim/loss/8/catsquare.jpg'>
                <img class='stimuli-right' src='stim/loss/8/rabbitsquare.jpg'>
            </div>","2","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","23","11562","0.0-13.0-2.0","[""dog"",""cat"",""rabbit""]","479","
            <div class='image-container'>
                <img class='stimuli-left' src='stim/loss/8/dogsquare.jpg'>
                <img class='stimuli-middle' src='stim/loss/outcome/squared_win.png'>
                <img class='stimuli-right' src='stim/loss/8/rabbitsquare.jpg'>
            </div>","2","2","02/14/2026","right","loss","2","volatile-stable","8","cat","1","0.2,0.4,0.8","50","true","false","0",""
"","","","","","html-keyboard-response","24","12133","0.0-13.0-3.0-0.0","[""dog"",""cat"",""rabbit""]","568","You are 25% done with the experiment. Please press the (0) key to proceed.","0","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","25","12634","0.0-13.0-0.1","[""dog"",""cat"",""rabbit""]","null","<div style='font-size:40px'>+</div>","null","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","26","13168","0.0-13.0-1.1","[""dog"",""cat"",""rabbit""]","532","
            <div class='image-container'>
                <img class='stimuli-left' src='stim/loss/8/dogsquare.jpg'>
                <img class='stimuli-middle' src='stim/loss/8/catsquare.jpg'>
                <img class='stimuli-right' src='stim/loss/8/rabbitsquare.jpg'>
            </div>","3","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","27","14171","0.0-13.0-2.1","[""dog"",""cat"",""rabbit""]","532","
            <div class='image-container'>
                <img class='stimuli-left' src='stim/loss/8/dogsquare.jpg'>
                <img class='stimuli-middle' src='stim/loss/8/catsquare.jpg'>
                <img class='stimuli-right' src='stim/loss/outcome/squared_win.png'>
            </div>","3","2","02/14/2026","right","loss","2","volatile-stable","8","rabbit","2","0.2,0.4,0.8","51","true","false","0",""
"","","","","","html-keyboard-response","28","15221","0.0-13.0-3.1-0.1","[""dog"",""cat"",""rabbit""]","1047","You are 50% done with the experiment. Please press the (0) key to proceed.","0","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","29","15722","0.0-13.0-0.2","[""dog"",""cat"",""rabbit""]","null","<div style='font-size:40px'>+</div>","null","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","30","16190","0.0-13.0-1.2","[""dog"",""cat"",""rabbit""]","467","
            <div class='image-container'>
                <img class='stimuli-left' src='stim/loss/8/dogsquare.jpg'>
                <img class='stimuli-middle' src='stim/loss/8/catsquare.jpg'>
                <img class='stimuli-right' src='stim/loss/8/rabbitsquare.jpg'>
            </div>","2","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","31","17193","0.0-13.0-2.2","[""dog"",""cat"",""rabbit""]","467","
            <div class='image-container'>
                <img class='stimuli-left' src='stim/loss/8/dogsquare.jpg'>
                <img class='stimuli-middle' src='stim/loss/outcome/squared_win.png'>
                <img class='stimuli-right' src='stim/loss/8/rabbitsquare.jpg'>
            </div>","2","2","02/14/2026","right","loss","2","volatile-stable","8","cat","3","0.2,0.8,0.4","50","true","true","0",""
"","","","","","html-keyboard-response","32","17932","0.0-13.0-3.2-0.2","[""dog"",""cat"",""rabbit""]","738","You are 75% done with the experiment. Please press the (0) key to proceed.","0","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","33","18433","0.0-13.0-0.3","[""dog"",""cat"",""rabbit""]","null","<div style='font-size:40px'>+</div>","null","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","34","18696","0.0-13.0-1.3","[""dog"",""cat"",""rabbit""]","262","
            <div class='image-container'>
                <img class='stimuli-left' src='stim/loss/8/dogsquare.jpg'>
                <img class='stimuli-middle' src='stim/loss/8/catsquare.jpg'>
                <img class='stimuli-right' src='stim/loss/8/rabbitsquare.jpg'>
            </div>","1","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","35","19698","0.0-13.0-2.3","[""dog"",""cat"",""rabbit""]","262","
            <div class='image-container'>
                <img class='stimuli-left' src='stim/loss/outcome/squared_lose.png'>
                <img class='stimuli-middle' src='stim/loss/8/catsquare.jpg'>
                <img class='stimuli-right' src='stim/loss/8/rabbitsquare.jpg'>
            </div>","1","2","02/14/2026","right","loss","2","volatile-stable","8","dog","4","0.2,0.8,0.4","49","false","false","-50",""
"","","","","","html-keyboard-response","36","24702","0.0-14.0","[""dog"",""cat"",""rabbit""]","null","
<div class='data-save-animation'>
    <p>Data saving...</p>
    <div class=""sk-cube-grid"">
        <div class=""sk-cube sk-cube1""></div>
        <div class=""sk-cube sk-cube2""></div>
        <div class=""sk-cube sk-cube3""></div>
        <div class=""sk-cube sk-cube4""></div>
        <div class=""sk-cube sk-cube5""></div>
        <div class=""sk-cube sk-cube6""></div>
        <div class=""sk-cube sk-cube7""></div>
        <div class=""sk-cube sk-cube8""></div>
        <div class=""sk-cube sk-cube9""></div>
    </div>
    <p>Do not close this window until the text disappears.</p>
</div>","null","","","","","","","","","","","","","","","$3.98"
